sim_num,num_epochs,batch_size,disc_epochs,gen_epochs,loss_penalty,disc_bn_decay,gen_bn_decay,mini_batch,disc_leaky_param,critic,gen_l2_regularization,disc_l2_regularization,gen_learning_rate,disc_learning_rate,data_size,z_size,var_locs,variable_sizes,generator_hidden_sizes,discriminator_hidden_sizes,auto_encoder_loc,disc_save_loc,gen_save_loc,disc_optim_save_loc,gen_optim_save_loc,fig_save_path,out_loc
1,15000,100,2,1,10,0.01,0.9,"""True""",0.2,"""False""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100,100""","""100""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_1','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_1','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_1','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_1','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_1',./output_files/190328_single_1.Pout
2,15000,100,2,1,10,0.01,0.9,"""True""",0.2,"""False""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100,100""","""100""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_2','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_2','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_2','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_2','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_2',./output_files/190328_single_2.Pout
3,15000,100,2,1,10,0.01,0.9,"""True""",0.2,"""False""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100,100""","""100""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_3','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_3','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_3','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_3','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_3',./output_files/190328_single_3.Pout
4,15000,100,2,1,10,0.01,0.9,"""True""",0.2,"""False""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100,100""","""100""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_4','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_4','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_4','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_4','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_4',./output_files/190328_single_4.Pout
5,15000,100,2,1,10,0.01,0.9,"""True""",0.2,"""False""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100,100""","""100""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_5','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_5','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_5','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_5','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_5',./output_files/190328_single_5.Pout
6,15000,100,2,1,10,0,0.99,"""True""",0.2,"""True""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100""","""256,128""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_6','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_6','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_6','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_6','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_6',./output_files/190328_single_6.Pout
7,15000,100,2,1,10,0,0.99,"""True""",0.2,"""True""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100""","""256,128""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_7','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_7','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_7','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_7','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_7',./output_files/190328_single_7.Pout
8,15000,100,2,1,10,0,0.99,"""True""",0.2,"""True""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100""","""256,128""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_8','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_8','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_8','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_8','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_8',./output_files/190328_single_8.Pout
9,15000,100,2,1,10,0,0.99,"""True""",0.2,"""True""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100""","""256,128""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_9','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_9','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_9','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_9','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_9',./output_files/190328_single_9.Pout
10,15000,100,2,1,10,0,0.99,"""True""",0.2,"""True""",0,0,0.001,0.001,55,100,"""0,1""","""5,12,7,2,10,12,5""","""100,100""","""256,128""",'./saved_parameters/autoencoder_190220','./training_iterations/190318_iterations_cat/wgan_cat/disc/discriminator_10','./training_iterations/190318_iterations_cat/wgan_cat/gen/generator_10','./training_iterations/190318_iterations_cat/wgan_cat/disc_optim/disc_optim_10','./training_iterations/190318_iterations_cat/wgan_cat/gen_optim/gen_optim_10','./training_iterations/190318_iterations_cat/wgan_cat/figures/fig_10',./output_files/190328_single_10.Pout
